Latitude,Longitude,DepthMeters,Magnitude
39.644,-75.483,5000,2.8
37.379,-80.746,11500,2.8
45.296,-73.475,18000,2.1
42.825,-78.239,5000,2.4
38.619,-80.909,100,3.4
38.675,-80.82,2300,2.4
38.818,-80.43,17000,2.5
38.792,-80.398,10700,2.5
39.433,-81.362,5000,2.8
41.514,-80.333,5000,2.7
40.859,-74.179,2000,2.1
41.11,-80.68,5000,2.6
44.964,-74.588,17000,2.4
44.673,-73.841,10000,2.6
40.011,-74.796,5000,1.9
39.51,-81.47,5000,3.1
39.422,-81.205,5000,2.6
41.115,-80.682,5000,2.5
41.035,-73.543,4300,2.1
39.509,-77.19,6000,2.2
45.132,-74.147,18000,3
45.219,-74.362,18000,2.6
43.356,-78.634,5000,2.5
41.075,-74.222,5000,2
41.238,-77.0555,10800,2.3
45.0995,-74.207,4900,2
44.895,-74.5235,12500,2.7
42.592,-74.1458,15400,2.2
43.8283,-74.236,5000,2.3
43.834,-74.1003,12800,1.6
38.668,-82.215,15400,2.5
43.407,-78.3345,6800,1.9
43.9087,-73.9885,7100,1.5
42.8187,-78.2457,9900,1.4
39.8485,-77.5933,5000,2.1
38.4176,-80.9942,1400,2.5
37.362,-81.624,5000,4.7
38.8956,-80.887,21200,2.7
44.9832,-74.6032,4100,1.4
38.8393,-80.9087,12700,2.8
38.8414,-80.9387,6100,2.6
43.351,-73.7943,10200,2.7
44.6673,-74.0823,13900,2
42.5963,-76.9065,5000,2
38.506,-82.7978,5700,2.2
37.7476,-80.6433,8200,2.2
44.9553,-74.806,5000,1.8
39.9273,-76.324,5000,1.8
44.5608,-75.1253,7500,1.8
45.0958333,-73.646,12000,2.75
44.7683333,-73.8276667,5000,1.75
44.5101667,-75.9473333,4170,2.06
44.9763333,-74.8253333,9410,1.32
41.319,-73.6928333,3000,1.73
40.9516667,-74.397,8000,1.86
38.6438,-81.5855,29600,2.6
41.3643333,-73.9343333,5000,2.53
40.7226667,-74.1138333,11120,1.62
43.579,-78.6248333,4540,1.49
43.4063333,-73.9891667,7000,1.56
42.9395,-74.4311667,5000,1.79
41.196,-80.7765,2560,2.14
41.018,-74.0321667,13870,1.27
43.2981667,-78.3395,4430,1.7
43.6283333,-73.9718333,6430,1.62
43.1398333,-78.777,8960,1.51
43.5065,-79.1693333,5000,2.26
45.0808333,-74.2346667,16070,2.14
37.8076,-82.1206,1000,2.3
44.7705,-74.9714,13200,1.8
43.0108,-76.4098,800,2.2
37.8606,-81.6165,500,2.9
38.0555,-81.6617,1300,2.7
37.9899,-81.3333,500,2.8
44.387,-73.889,3000,3.1
43.855,-74.242,11000,2.6
39.697,-78.237,15000,3.1
41.159,-74.557,8000,0.9
42.698,-74.365,6000,2.7
42.754,-77.855,2000,2.5
39.999,-75.6573333,2000,2.73
41.054,-74.2945,6230,1.24
41.0011667,-73.6486667,2010,1.7
40.268,-76.141,5000,2.6
40.231,-75.892,7000,2.1
43.4086667,-79.1936667,3320,2.27
44.011,-75.1721667,14470,1.33
45.1875,-73.9578333,17180,2.07
44.5326667,-73.7243333,5270,1.34
39.892,-76.4083333,1300,1.54
40.8935,-74.3375,7910,1.39
37.1799,-81.8663,17100,2.3
44.896,-73.574,10000,4.2
38.0969,-82.0546,200,2.2
37.3466,-81.4547,400,2.6
37.8172,-81.7819,12600,2.5
39.7113,-79.735,4200,1.4
43.0225,-76.4203,1200,2.3
37.6355,-82.6168,1200,2.2
37.3689,-81.6311,1400,2.6
37.7563,-82.1132,1300,2.5
41.43,-73.788,3000,2.3
41.593,-73.933,3000,2.5
45.106,-74.606,16000,3
45.106,-74.607,16000,3.3
40.999,-73.831,4900,1.9
44.657,-75.558,5200,2.9
41.896,-80.767,5000,3.5
41.9,-80.8,5000,2.7
40.347,-76.018,5000,2.8
40.35,-76.02,5000,2
40.35,-76.02,5000,2.3
40.098,-76.967,5000,2.2
45.04,-74.83,18000,2.9
43.624,-75.37,5000,3.2
44.908,-74.547,14000,2.9
44.36,-74.968,4200,3
41.495,-80.388,5000,4.5
44.76,-73.8,10200,2.9
43.96,-74.24,6000,2.3
43.949,-74.257,5000,3.8
41.42,-73.63,6700,2.6
41.16,-74.535,8000,2.6
40.228,-75.995,2000,1
43.886,-73.31,8000,2.9
44.945,-74.079,10000,2.5
43.281,-77.316,2800,2.6
40.97,-74.379,4700,2.1
45.029,-73.901,15000,3.5
37.8138,-82.1101,1300,2.3
37.2581,-81.9888,7000,4
41.9,-80.8,5000,3
41.9,-80.8,5000,2.9
41.9,-80.8,5000,2.8
37.5488,-82.0602,1100,2.4
39.949,-76.198,5000,2
45.13,-74.02,18000,3.8
40.572,-75.116,3100,2.4
40.96,-74.37,7000,1.9
40.793,-73.97,5000,2.6
41.11,-73.66,6000,1.1
44.513,-73.699,11000,5.2
44.49,-73.69,5000,3.7
44.501,-73.704,5000,1.7
