Region,CO2 Emissions,Ease of Business,Energy Usage,GDP,Internet Usage,Population Total
Europe,4294,151,1976,5652325082,0.01,3033659
Europe,4166,151,2172,7464446950,0.024,3014579
Europe,4254,151,2172,8376483740,0.06,2992724
Europe,3865,151,2068,9132562332,0.096,2968028
Europe,4056,151,2025,10701011856,0.15,2940880
Europe,4129,151,2061,12881352688,0.239,2912559
Europe,3880,151,2068,12044212904,0.412,2884303
Europe,4283,151,2059,11926953259,0.45,2856673
Africa,92533,151,30698,67863832648,0.022,33003442
Africa,89493,151,30974,85324997370,0.046,33461345
Africa,107128,151,32335,1.03E+11,0.058,33960903
Africa,103963,151,34658,1.17E+11,0.074,34507214
Africa,112339,151,36793,1.35E+11,0.095,35097043
Africa,114619,151,37425,1.71E+11,0.102,35725377
Africa,124586,151,40823,1.37E+11,0.112,36383302
Africa,123475,151,40105,1.61E+11,0.125,37062820
Africa,123475,151,41852,1.99E+11,0.14,37762962
Africa,123475,151,41852,2.04E+11,0.152,38481705
Africa,9065,66,9004,14188949240,0.004,15421075
Africa,18793,66,9676,19640862550,0.005,15976715
Africa,19156,66,9356,28233699240,0.011,16544376
Africa,22266,66,10006,41789494462,0.019,17122409
Africa,25152,66,10697,60448890972,0.032,17712824
Africa,26597,66,11584,84178086999,0.046,18314441
Africa,27836,66,12586,75492417649,0.06,18926650
Africa,30418,66,13378,82470894868,0.1,19549124
The Americas,345,66,140,787693391,0.065,77648
The Americas,345,66,140,778311557,0.089,78972
The Americas,363,66,140,806505874,0.125,80030
The Americas,389,66,140,849234754,0.172,80904
The Americas,407,66,135,905113767,0.243,81718
The Americas,411,66,137,1001970945,0.27,82565
The Americas,425,66,143,1141418340,0.3,83467
The Americas,444,66,146,1289259236,0.34,84397
The Americas,458,66,146,1347407407,0.38,85349
The Americas,499,66,146,1206296296,0.42,86300
The Americas,513,66,146,1135555556,0.47,87233
The Americas,513,66,146,1127037037,0.53,88152
The Americas,513,66,146,1194074074,0.59,89069
The Americas,141077,121,60954,3.44E+11,0.07,36903067
The Americas,132632,121,57835,3.25E+11,0.098,37273361
The Americas,123266,121,55386,1.24E+11,0.109,37627545
The Americas,133127,121,59047,1.57E+11,0.119,37970411
The Americas,156170,121,67303,1.83E+11,0.16,38308779
The Americas,160952,121,66973,2.23E+11,0.177,38647854
The Americas,174238,121,73128,2.64E+11,0.209,38988923
The Americas,180416,121,73673,3.30E+11,0.259,39331357
The Americas,190057,121,77794,4.06E+11,0.281,39676083
The Americas,179639,121,76075,3.78E+11,0.34,40023641
The Americas,180512,121,78162,4.63E+11,0.45,40374224
The Americas,180512,121,80112,5.58E+11,0.51,40728738
The Americas,180512,121,80112,6.03E+11,0.558,41086927
Asia,3465,40,2015,1911563665,0.013,3076098
Asia,3542,40,2006,2118467913,0.016,3059960
Asia,3044,40,1876,2376335048,0.02,3047002
Asia,3429,40,1981,2807061009,0.046,3036032
Asia,3645,40,2095,3576615240,0.049,3025652
Asia,4360,40,2512,4900436759,0.053,3014917
Asia,4382,40,2559,6384457744,0.056,3002911
Asia,5068,40,2853,9206301700,0.06,2989882
Asia,5556,40,3004,11662040714,0.062,2977488
Asia,4353,40,2610,8647936748,0.153,2968154
Asia,4221,40,2483,9260287416,0.25,2963496
Asia,4221,40,2716,10142342770,0.32,2964120
Asia,4221,40,2716,9958217880,0.392,2969081
Oceania,329605,10,108110,4.15E+11,0.468,19153000
Oceania,324860,10,105751,3.79E+11,0.527,19413000
Oceania,341002,10,109461,3.94E+11,0.63,19651400
Oceania,346476,10,110814,4.67E+11,0.63,19895400
Oceania,348757,10,112696,6.13E+11,0.63,20127400
Oceania,362685,10,113503,6.94E+11,0.63,20394800
Oceania,371214,10,115020,7.47E+11,0.66,20697900
Oceania,377235,10,118655,8.54E+11,0.695,20827600
Oceania,387635,10,122519,1.06E+12,0.717,21249200
Oceania,395094,10,122108,9.27E+11,0.743,21691700
Oceania,373081,10,122512,1.14E+12,0.76,22031800
Oceania,373081,10,122888,1.39E+12,0.795,22340000
Oceania,373081,10,133681,1.53E+12,0.79,22723900
Europe,63696,28,28558,1.92E+11,0.337,8011566
Europe,65716,28,30177,1.92E+11,0.392,8042293
Europe,67179,28,30447,2.08E+11,0.366,8081957
Europe,72317,28,32214,2.54E+11,0.427,8121423
Europe,71866,28,32690,2.91E+11,0.543,8171966
Europe,74238,28,33792,3.05E+11,0.58,8227829
Europe,71565,28,33799,3.25E+11,0.636,8268641
Europe,69141,28,33393,3.75E+11,0.694,8300788
Europe,68269,28,33545,4.14E+11,0.729,8336926
Europe,62262,28,31963,3.84E+11,0.735,8365275
Europe,66897,28,34228,3.78E+11,0.752,8389771
Europe,66897,28,33019,4.16E+11,0.787,8406187
Europe,66897,28,32896,3.94E+11,0.8,8429991
Asia,29508,71,11296,5272617196,0.001,8048600
Asia,28771,71,11445,5707618247,0.003,8111200
Asia,29615,71,11559,6236024951,0.05,8171950
Asia,30616,71,12158,7275766111,,8234100
Asia,32090,71,12786,8680511918,,8306500
Asia,34338,71,13427,13245421881,0.08,8391850
Asia,39167,71,13232,20982270733,0.12,8484550
Asia,41426,71,12113,33050343783,0.145,8581300
Asia,45702,71,13322,48852482960,0.171,8763400
Asia,42629,71,11937,44291490421,0.274,8947243
Asia,45731,71,11586,52902703376,0.46,9054332
