Temperature_min,Temperature_max,WindSpeedAt3am,WindSpeedAt10am,WindSpeedAt6pm,HumidityLevelAt10am,HumidityAt6pm,PressureAt10am,PressureAt6pm,TemperatureAt10am,TemperatureAt6pm,WillRainTomorrow?
20.3,30.7,32,6,17,110,72,1025.2,1015.4,26.6,40.4,No
30,33.3,33,10,20,70,35,1032.6,1035.4,26.6,39.3,No
23.5,26.9,24,14,20,98,63,1025.5,1026,29.8,34.6,Yes
25.5,26.9,45,20,30,82,59,1019.3,1016.9,24.2,30.8,No
33.5,39.3,33,4,12,94,49,1027.3,1022.2,33.6,43.6,No
33,29.8,48,31,32,87,48,1014.5,1018.1,30,34.6,No
27,24.4,28,14,21,104,71,1021.4,1023.1,31.9,32.3,No
14.9,24,38,8,24,103,63,1031.2,1026.9,20,30.4,Yes
24.6,36.4,47,11,13,86,80,1025.2,1023.4,31.5,32.3,Yes
13.3,26.2,33,19,13,50,37,1027.2,1029.4,24.3,31.6,No
22,21.8,40,21,17,101,60,1017,1013.8,20.4,25.4,Yes
18.9,32.2,23,7,15,73,56,1023.9,1018.8,29.6,37.1,No
38.8,46.8,43,11,21,50,23,1031,1019.7,37,46.1,No
19.4,29.3,41,11,29,79,53,1017.9,1017.6,24.4,31.3,No
15.4,25.9,24,11,14,83,47,1030.7,1027.6,20.8,28.7,No
36,40.2,46,4,19,54,37,1022,1026,39.2,43.8,No
25.3,21.1,31,17,13,106,92,1018.4,1018.2,24.6,25.6,Yes
30.7,37.9,52,10,11,110,54,1025.8,1018,34.9,45.9,Yes
16.7,31.7,17,7,11,109,36,1032.6,1024.6,30.4,42.3,No
13,25.5,32,16,15,76,40,1032.2,1031.9,28.9,32.9,No
17.9,16.1,48,21,25,95,74,1021.3,1015.6,22.3,25.4,Yes
25.2,24.5,39,17,31,89,45,1026.6,1026.1,23.9,32.8,Yes
32.6,37.2,39,5,22,80,52,1030.2,1018.4,34.1,47.2,No
27.4,35.9,53,17,33,80,43,1023.8,1013.7,26.6,40,No
19.8,26.1,25,6,16,92,59,1024.9,1018.1,26.6,29.6,No
36.2,38.4,40,17,17,61,31,1020,1021.1,39.1,48.3,No
20.3,25.3,37,13,14,54,37,1024.1,1028.1,30.4,35.4,No
28.2,33.8,31,8,16,96,53,1033.8,1022.9,36.2,38.1,No
34.4,40.1,56,2,34,99,68,1019.3,1017.2,37.7,42.6,Yes
26.2,28.9,29,9,17,58,33,1021.5,1023.7,26.2,36.8,No
13.5,20.8,47,10,11,103,77,1011.4,1008.2,17.9,33.3,Yes
23,35.8,38,16,9,90,51,1025.8,1015.5,29.8,46.5,Yes
13.2,19.8,48,8,19,99,94,1024.1,1018.9,16.5,27,Yes
21.9,23.2,64,37,26,102,101,1009.6,1001.5,33.8,31.7,Yes
11.7,16.5,21,12,2,102,99,1021.2,1015.1,16.7,30.2,Yes
20.6,24.4,26,14,9,103,68,1029.7,1030.5,17.5,30.2,No
22.8,23.3,36,18,20,94,85,1033.3,1029.2,25.8,32.9,Yes
27.8,30.4,35,21,14,86,59,1020.3,1024.9,32.3,37.1,No
25.9,27.1,31,11,17,44,26,1023.2,1015,26,39.2,No
21.6,23.4,52,24,20,79,73,1035.8,1033,27.3,32,Yes
35.7,29.5,27,10,20,83,68,1014.3,1011.1,33.7,44,Yes
26.1,26.6,49,20,23,66,75,1027,1020.3,28,35.3,Yes
17.9,16.1,48,21,25,95,74,1021.3,1015.6,22.3,25.4,Yes
27.2,17.4,37,18,17,99,88,1011.2,1004.1,17.7,29,Yes
28.8,29.7,31,10,11,90,106,1029.4,1023.8,37.3,27.1,Yes
21.1,29.1,35,9,21,61,36,1029,1028.6,28,40.7,No
27.4,32.1,38,11,17,87,64,1029.3,1029.5,33,36,Yes
27.3,35.8,44,24,20,67,31,1014.2,1011.6,40.9,47.1,No
36.7,30.6,47,10,20,88,100,1019.5,1018.2,42.4,33.8,Yes
38.7,40.4,22,16,14,70,52,1023.8,1019.6,35.9,49.1,No
22,26.9,38,20,18,65,34,1030.6,1026.3,30.3,36.7,No
19.8,24.8,32,15,30,98,62,1027.3,1022.2,27,39.3,Yes
19.7,25.6,32,9,14,83,45,1033.4,1022.9,29.1,31.4,No
11.4,20.4,62,4,10,96,49,1032.5,1036.9,22.9,28.8,No
20.9,19.5,21,16,8,102,76,1029.8,1034.3,16.5,27.8,No
29.7,28.4,51,21,33,69,43,1016.3,1013,37.1,38.9,No
21.3,34.3,23,4,16,84,47,1025.7,1019.3,28.5,36.6,No
24.7,26,39,14,17,101,102,1026.9,1021.7,28.2,34.7,Yes
34.5,26.6,35,12,17,103,79,1031.3,1021.3,32.9,34.9,Yes
14.9,24,38,8,24,103,63,1031.2,1026.9,20,30.4,Yes
27.3,32.3,60,32,31,41,32,1021.4,1016.7,36.6,33.4,No
24.7,35.6,46,20,20,61,64,1019.5,1014.3,39.4,39.8,Yes
35.8,33.8,35,11,22,76,78,1005.8,1006.4,33.4,32.6,No
24.3,26,58,22,31,80,64,1012.5,1014.5,30.4,29.8,No
28.2,40,44,4,34,84,48,1021.4,1013.8,33.8,42.5,Yes
21.7,22,45,29,28,84,72,1013.7,1011.6,22.7,22.8,Yes
27.6,24.3,16,9,5,90,66,1033.7,1024.1,33,35.6,No
30.7,29,44,4,18,102,60,1013.8,1009.3,28.8,36.8,Yes
15.8,25,27,9,18,84,55,1029,1029.8,24.9,30.2,No
20.5,22.1,39,8,27,98,72,1031.9,1033.8,22.5,28.3,No
24.1,35.2,29,11,21,67,53,1011.4,1008.1,33.7,43.3,Yes
31.5,34,56,16,33,91,79,1020.3,1016.6,35.8,36.9,No
30.8,33.5,43,28,13,72,45,1030.9,1031.9,30.1,36.2,No
27.4,24,20,23,16,103,106,1027.1,1030.5,22,31.9,Yes
26.1,44.5,47,7,29,57,21,1016.2,1013.1,34.3,44.4,No
30.5,19.8,32,19,28,95,74,1023,1024.3,28.9,31.5,Yes
30.9,36.7,45,17,19,53,48,1025.5,1019.4,32.6,37.7,Yes
28.1,33.2,42,16,26,103,76,1027.3,1023.6,33,37.4,No
26.7,26.3,15,8,10,102,103,1029.3,1026.7,33,37,Yes
24.7,25.3,54,7,13,97,68,1031.5,1026.6,29.6,36.4,No
22.1,34.9,79,17,29,90,55,1023.8,1024.4,30.4,34.5,Yes
14.2,27.1,36,12,23,102,56,1026,1025.4,23.9,30.1,No
31.9,45.5,35,10,24,50,26,1020.1,1019,44.5,53.5,No
23.7,19.8,68,24,25,94,89,1028,1023.7,20.7,18,No
21.5,31.1,54,17,22,74,42,1015.7,1018.4,23.9,32.4,No
33.9,36.5,39,25,17,59,44,1022.9,1014.3,38.8,46.7,No
18.3,31.9,30,15,14,70,33,1031.4,1022.1,25.8,40.1,No
19.2,19.8,60,33,31,89,61,1021.1,1017.3,22.6,22.9,No
15.2,21.1,30,4,19,87,65,1038.3,1028.3,23.3,28.7,No
41.9,42,41,10,17,84,59,1015.3,1015.6,43.8,53.9,Yes
27.8,44,51,19,27,56,27,1026.6,1017.6,36.2,51.2,No
14.9,23.8,56,13,16,106,87,1025.7,1024.3,17.3,31.8,Yes
20.3,28.2,42,14,17,80,86,1022.7,1019.9,31.1,29.3,Yes
25.7,23.4,29,6,21,104,69,1027.5,1029.2,20,32,No
25.9,29.4,49,19,26,86,78,1031.2,1032.8,32.1,36.8,Yes
16,22.7,50,10,22,103,61,1027.7,1028,23.3,30.4,No
29.1,24.2,35,9,13,108,101,1024.5,1020.7,29.3,30.9,Yes
19.9,25.4,39,26,16,65,57,1028.9,1020.4,22.8,31.1,No
19.8,19.5,27,3,14,94,54,1030.8,1033.1,21.7,30.9,No
30.7,29.8,39,19,27,71,80,1018.5,1014.9,35.9,36,Yes
35,42.4,51,32,26,51,29,1020.9,1013.2,44.1,53.6,No
34.5,34.2,49,8,34,102,106,1029,1028.4,36.4,44.2,Yes
36.6,37.4,68,8,17,94,52,1014.1,1010.1,37.2,48.5,Yes
35.1,46.7,55,16,18,17,15,1021.5,1020.7,45.6,50,No
26.3,26.5,25,6,13,97,85,1019.6,1019,30.4,34.3,Yes
28.3,35.3,33,23,12,54,35,1020.8,1022.2,30.6,43.8,No
27,20,43,12,9,109,92,1027.2,1026.7,27.1,27,Yes
31.9,38.5,46,20,28,92,57,1018.6,1018.6,39.9,47.3,No
29.6,33.8,41,26,23,68,29,1027.9,1028.5,34.6,45.2,No
35.5,34.2,49,26,29,79,52,1023.7,1020.6,34.5,36.6,Yes
31.7,29.6,38,13,25,57,56,1028.1,1027.2,34.3,40.9,Yes
28.8,41.9,60,17,17,66,51,1016.2,1011.4,38.7,40.1,Yes
27.4,26.3,33,24,10,60,48,1030.1,1023.3,31.2,37.9,No
30,27.1,57,22,33,83,48,1016.5,1019.5,27.7,34.4,Yes
29.7,52.5,64,13,50,67,28,1019.7,1015.1,44.9,51.3,Yes
32.1,38.8,38,11,19,73,53,1027.5,1017.4,36.1,41,No
29.2,21.2,26,19,19,104,94,1040.1,1029.7,31.9,27.2,Yes
41.9,43.6,70,38,28,25,36,1014.5,1014.3,43.1,45.4,Yes
27.4,28.3,36,21,12,72,82,1026.4,1021.2,31.3,31.6,Yes
21.8,34.1,43,11,18,75,44,1021.7,1019.5,30.7,42.6,No
37.4,32.5,50,24,28,89,96,1011.8,1017.2,32.9,34.8,Yes
18.7,36.6,44,11,28,63,24,1023.2,1016.9,26,37.8,No
24.7,24.4,80,22,24,68,91,1017.2,1009.8,31.1,33.9,Yes
23.6,20.8,36,6,30,106,102,1022,1022.3,20.6,26.5,Yes
25.6,30.1,29,16,25,91,67,1034,1029.6,34.8,33,No
31.3,41.8,30,17,10,65,39,1020.4,1016.9,38.1,42.1,No
35.4,39.1,102,7,27,89,76,1013.8,1003.7,37,46.5,Yes
18.9,18.9,38,10,9,93,89,1022.5,1021.8,18.4,26.8,Yes
25.1,27.6,26,13,20,75,62,1025.4,1022.5,37.4,33.5,Yes
25.1,39.2,46,10,29,52,28,1024.2,1017.2,31.1,41.7,No
31.9,35.4,58,19,31,102,39,1023.2,1016.2,32.8,45.8,No
23,29.1,24,7,14,76,41,1036.1,1036,25,35,No
31.6,23.3,67,25,32,55,44,1018.5,1019.4,28.7,25.9,No
24.6,32.4,45,11,28,78,71,1023,1019.2,34.2,29.6,Yes
24.5,27.3,30,15,9,49,33,1029,1026.1,31.5,30.9,No
18.3,21,47,28,32,78,50,1019.8,1019.1,23,26.7,No
19.8,24.8,32,15,30,98,62,1027.3,1022.2,27,39.3,Yes
32,38.8,79,22,37,58,58,1021.1,1023.1,35.8,37.5,Yes
32.7,36.4,43,16,8,89,80,1020.1,1020.2,41.5,40.9,Yes
26.8,28.1,40,12,24,50,32,1028.4,1031.4,24.4,32.3,No
31.4,34,79,12,26,92,84,1015.7,1012,30.9,37.7,Yes
24.8,22.1,61,27,38,86,66,1002.3,1004.5,30.8,27.9,Yes
26.6,30.9,45,27,20,51,30,1020.4,1018.1,34.9,36.1,No
23.5,25.3,41,27,24,69,66,1039.8,1032.7,28,25.8,Yes
17.5,24.1,18,8,13,77,50,1031.2,1027.5,26.6,28.8,No
30.5,19.8,32,19,28,95,74,1023,1024.3,28.9,31.5,Yes
32.6,28.3,35,23,16,81,87,1022.4,1014.8,34.1,30.6,Yes
30.7,31.3,37,12,10,95,90,1031,1025.6,32.9,39.2,Yes
31.4,34.5,39,14,21,63,23,1020.9,1022.2,31.3,44.4,No
32.5,27.2,36,13,15,104,107,1016,1016.9,35.8,28.2,No
25,34.8,28,14,14,98,40,1035.5,1030.3,27.1,43.7,No
28.4,18.9,24,17,14,87,86,1013.8,1009.5,27.3,26.3,Yes
33.8,31.4,31,20,25,86,73,1020.6,1022.7,30.4,30.7,Yes
18.9,19.9,30,12,21,107,103,1023.9,1022,27.6,26.4,Yes
29.2,32.1,27,18,22,107,105,1002.9,999.8,34.1,35,Yes
16.7,25.5,66,11,13,104,60,1026.6,1028.5,24.6,36.6,Yes
32.3,29,69,9,34,88,61,1012.5,1009.8,26.1,38.9,No
13.4,18.3,29,8,15,107,89,1025.5,1023,18.5,20.9,No
17.7,17.6,25,3,18,108,63,1032.6,1023.8,17.7,31,No
36.3,38.4,58,15,15,57,43,1022.9,1017.2,41.4,49.9,Yes
30.5,30.1,47,18,14,89,78,1018.8,1019.1,35.7,38.5,Yes
34.7,32.9,29,15,11,76,83,1022.1,1019.3,32.6,36.6,No
20.2,23.5,29,18,19,89,84,1008.8,1012.1,25.5,31,Yes
14,24.8,48,6,20,81,41,1031.2,1035.4,20.2,32.8,No
22.5,27.3,31,4,11,75,67,1024.4,1017,25.9,29.1,No
30.5,36.6,69,7,17,85,60,1026.8,1023.4,39.1,46.4,Yes
35.6,34,33,19,25,64,62,1020.4,1020.3,33.3,40.5,No
25.1,32.3,39,6,22,83,50,1021.6,1020.9,29.6,41.5,No
28.9,32.3,25,8,15,101,92,1025.3,1022,37.9,35.6,Yes
18.6,28,54,9,24,51,52,1020.1,1021.1,30.6,35.4,Yes
34.1,30.9,24,21,18,75,86,1019.2,1018.4,31.2,38.1,Yes
34,41.9,52,34,34,27,31,1020.3,1018.1,39.3,42.3,No
27.2,32.5,35,19,24,74,41,1025.2,1021.7,27.4,39.5,No
24,29.2,49,11,23,61,36,1026.1,1018.8,34,40.6,No
21.2,27.5,36,19,23,107,55,1024.4,1016.6,31.8,34.6,No
28.2,29.6,49,16,31,91,74,1032.2,1029.8,28.6,28.8,Yes
34.7,31.8,30,19,24,99,88,1026.1,1027,38.5,37.9,Yes
25.2,21.8,24,4,21,88,57,1027.4,1022.8,21.7,25.6,Yes
20.5,29.7,32,14,19,76,49,1032,1023,31.9,35.9,No
22,19.6,40,20,18,96,85,1006.3,1006.9,21.8,23.6,Yes
25.4,30.8,38,5,19,73,34,1033.2,1033,34.3,40,No
16.3,18.8,39,8,27,96,88,1024.9,1009.3,15,21.7,Yes
26,28.3,23,10,11,87,56,1041.3,1032.8,28.7,38,No
20.2,21.3,33,19,19,103,91,1038.1,1034.9,22,29.9,Yes
33,37.9,43,16,15,89,50,1023.4,1017,32.6,45.6,No
26.9,39.5,34,5,17,78,30,1034.1,1030.7,26.5,43.4,No
32.6,45.8,55,25,11,58,30,1016.4,1016.1,44.1,45.9,Yes
12.4,21.2,31,11,18,77,51,1033.1,1028.5,26.4,26.3,No
17.3,25.6,52,25,21,68,59,1016.3,1005.9,26.2,32.3,Yes
33.7,38.3,37,16,16,93,57,1020.4,1014.2,34,43.6,Yes
21.8,25.8,22,14,15,96,74,1034.3,1028.5,21.1,33.9,Yes
12,24,16,9,17,109,57,1032.4,1021,25.4,34.4,No
25.2,24.5,39,17,31,89,45,1026.6,1026.1,23.9,32.8,Yes
21.5,27.2,28,15,16,107,96,1030.6,1031.4,27.6,25.6,No
23,27.6,46,30,19,94,85,1028.9,1024.9,30.6,30.3,Yes
24.1,28.7,41,16,9,74,49,1028.1,1022.5,35,29,No
27.3,22.6,51,15,35,75,57,1007,1004.7,27.9,27.5,No
24,29.8,79,28,43,72,58,1008.4,1011.8,26.9,29.7,Yes
31.7,38.9,60,9,23,89,55,1012.2,1004.7,30.5,38.5,Yes
31.7,38.9,60,9,23,89,55,1012.2,1004.7,30.5,38.5,Yes
31.5,32.6,64,27,16,58,40,1024.6,1021.8,32.9,42.3,No
35.5,42.6,56,23,12,53,48,1022.7,1023.6,43,50.6,No
25.4,33.7,47,28,29,34,8,1038.3,1033.4,30.5,41.2,No
36.8,31,30,12,24,91,70,1008.9,1006.1,41.1,43,Yes
27.5,38.1,57,7,25,82,53,1022.8,1017.5,40.8,43.2,Yes
22.1,20.4,16,9,12,104,101,1034.2,1030.6,17.3,28.8,Yes
34,41.3,29,16,23,51,16,1023.5,1021.6,35.2,52.1,No
37,37.8,40,5,15,94,54,1023.4,1015.9,37.8,46.8,Yes
25.7,22.7,30,5,24,107,76,1027.2,1024.3,22.8,33,Yes
29.3,31.8,22,8,12,84,46,1030.6,1029.1,31.4,42.5,No
14.7,27.7,28,10,22,86,61,1019.5,1013.8,29,36.5,No
21.1,31.1,47,21,17,40,31,1025.3,1019.5,31.2,34.6,No
12.3,24.5,27,17,18,99,42,1036.8,1031.7,23.8,30,No
27.9,28.2,59,23,13,104,88,1032.7,1023.4,24.5,37.1,Yes
24.9,35.7,46,8,28,81,46,1012.5,1015,32.9,43.4,No
34.9,34,38,21,21,56,43,1030.8,1029.1,35.1,40.8,Yes
33.8,51.9,50,27,22,34,9,1018.9,1016.7,51.2,58.8,No
18.6,24.7,21,3,16,81,50,1030.7,1026.5,20.3,28.9,No
28.8,45.4,39,7,15,75,29,1026.1,1023.6,38.9,47.7,No
18.4,19.8,61,19,31,101,73,1022.8,1016.8,26.7,26.3,Yes
25.2,21.8,24,4,21,88,57,1027.4,1022.8,21.7,25.6,Yes
18.8,27,28,6,19,85,104,1022.5,1025.2,23.9,25.8,Yes
21.4,16.8,59,29,23,90,78,1005.1,1004,24.3,23.2,Yes
19.6,23.2,42,24,6,76,44,1022.9,1017.1,26.7,32.2,Yes
25.9,27.7,48,15,34,94,58,1022.3,1010.9,21.8,34.2,Yes
33.2,36.4,35,7,12,100,57,1022.8,1027.8,31.4,39.4,No
19.3,31.4,79,29,48,65,32,1018.3,1014.5,37.6,42.5,Yes
19.9,25.4,34,4,15,107,89,1017.6,1020.7,23.1,26,Yes
14.9,24,38,8,24,103,63,1031.2,1026.9,20,30.4,Yes
20.2,24,17,12,14,97,85,1016.8,1017.6,25,33,Yes
34,35.4,50,15,28,89,58,1013.6,1004.6,37.2,40.2,No
30,45.9,49,13,29,62,21,1022.4,1013.5,38.5,50.3,No
15.3,24.7,24,4,13,106,55,1020,1021.4,22,34.2,No
21,20.4,47,9,25,103,110,1020.1,1013.7,30.2,26.7,Yes
21.5,28.8,63,19,29,57,41,1024.9,1021.9,23.8,37.7,Yes
14.7,18.5,66,19,22,94,97,1023.5,1022.2,19.7,22.4,Yes
30.5,26.3,48,29,28,92,77,1022.4,1017.6,31.9,31,Yes
18.7,23.6,32,14,13,100,104,1018.7,1016.8,21.9,27.1,Yes
26.8,29.1,56,4,24,107,42,1022.8,1018.3,25.2,34.7,No
25.9,36.6,52,9,30,69,43,1033.5,1027,32.3,40,Yes
26.1,20,59,37,29,96,95,1014.5,1014,25.9,21,Yes
31.3,27.5,37,11,8,110,70,1031.4,1035,32.9,31.9,Yes
27.5,34.4,22,17,18,76,43,1035.8,1027.4,26.8,44,No
26,34.5,32,6,22,87,33,1019.1,1024.2,31,39.9,No
40.1,40.7,58,16,34,84,66,1017.5,1017.4,37.4,40.7,Yes
28,35.7,39,20,18,73,43,1029.8,1023.4,41.2,44.9,No
16.4,23.7,26,8,16,99,56,1035.2,1027.8,23.3,30.6,No
39,28.3,33,18,13,91,89,1032.3,1028.2,35.4,37.4,Yes
31.6,35.8,40,14,13,56,41,1022.2,1026.1,35.2,39.2,No
26.2,35.3,28,3,8,102,58,1015.8,1005,36.9,46,No
25.3,20.9,61,17,29,95,87,1012.5,1009.2,19.7,20.8,Yes
30.2,45,73,19,18,59,40,1017.6,1012.8,42.2,46.4,Yes
30,37.6,52,12,23,85,67,1020,1022.1,40.1,44.6,Yes
20.9,27.7,26,16,11,103,69,1023.5,1024,30.9,34.3,No
26.7,37.7,45,22,31,69,52,1019,1016.4,38.9,39.2,Yes
25.9,34.1,65,21,12,81,49,1015.9,1014.4,31.4,41.4,No
34.5,26.6,35,12,17,103,79,1031.3,1021.3,32.9,34.9,Yes
21.5,21.1,55,11,38,106,67,1028.1,1022.5,25,27,Yes
33.8,43.5,73,27,35,73,42,1014.6,1015.7,36.1,48,Yes
25,27.9,54,26,27,75,89,1024.3,1029,37.3,30.8,Yes
35.1,25.9,50,17,26,108,100,1019.1,1019.8,31.9,37.3,Yes
20.1,20,35,16,20,104,91,1032.9,1035,23.3,28.7,Yes
27.4,28.7,58,29,28,75,102,1020.2,1014.7,38.2,35.1,Yes
20.3,19.5,48,26,22,106,98,1028.2,1027.7,23.9,31.3,Yes
41.5,46.8,70,36,29,22,17,1023,1014.3,49.4,58.5,Yes
39.8,40.1,39,9,29,76,62,1023.1,1019.1,42.6,45.3,No
34.6,33.6,51,11,30,92,60,1036.9,1036.4,30.3,34.1,No
26.5,36.6,52,4,18,90,34,1020.1,1014,36.7,38.6,No
31.9,32.7,33,6,14,100,90,1024.1,1022.5,41.9,38.3,Yes
21.3,25.1,40,12,16,72,50,1021.8,1023.7,21.4,36.5,No
13.7,15.5,34,16,21,96,73,1034.1,1033.3,20.3,25.2,No
37.3,32.3,41,13,12,110,81,1014.5,1011.4,36,38.9,Yes
24.4,28.3,31,9,20,75,57,1020.1,1017,28.9,35.4,No
25.2,25.7,47,31,29,99,69,1014.4,1017.7,23.2,36.5,No
16.8,19.6,38,8,13,106,96,1024.7,1014.6,21.1,31.4,Yes
31,36.1,30,9,20,66,45,1023.5,1012.3,32.5,44.8,Yes
27.8,34.8,29,8,18,94,57,1032.4,1028.8,38,40.4,No
20.4,29.4,23,21,16,90,72,1035.6,1035,33.3,35.9,No
34.9,31,39,10,15,88,94,1027.6,1026.1,36.7,30.6,Yes
24.1,35.2,29,11,21,67,53,1011.4,1008.1,33.7,43.3,Yes
21.3,19.1,56,20,22,92,69,1018.3,1021.6,28.4,25,Yes
33.6,41.5,51,16,16,52,39,1015.9,1012.5,35.8,56.3,No
31.9,42.8,57,25,30,91,62,1006.3,1000.6,42.5,52.7,No
36.8,44.1,35,11,18,65,41,1010.1,1012.2,38.6,53.4,No
26.6,32.3,38,17,17,104,73,1016.1,1015.3,32.8,41.4,Yes
21.4,28.6,32,10,18,105,79,1030.2,1019.6,24.9,34,Yes
17.6,33.8,40,7,23,71,53,1017.2,1018.8,32.4,37.9,No
28.5,44.9,41,10,30,61,25,1018.9,1024,38.3,51.7,No
37.9,42.1,38,7,14,85,44,1023.7,1018.7,40.4,48.5,No
31.5,35.1,38,22,18,61,42,1024.3,1023.7,35.2,38.3,No
31.5,39.3,36,17,22,45,28,1026.8,1024.5,32.8,41.8,No
32.6,28.3,35,23,16,81,87,1022.4,1014.8,34.1,30.6,Yes
20.8,27.1,31,12,12,76,47,1012.3,1013,30.6,36.7,Yes
20.5,38.4,42,22,23,32,13,1025.6,1018.5,38.8,41.4,No
19.5,30.7,56,23,27,43,48,1023.7,1018.3,37.7,35.4,No
38.4,38.7,34,16,19,62,77,1014.7,1013.7,39.5,37.8,Yes
38.8,31.6,76,18,22,56,91,1014.5,1017.9,36.6,33.3,Yes
20,19.2,69,18,24,89,80,1015.3,1009.4,27.4,22.5,Yes
39,38.1,33,17,16,38,36,1023.4,1016.7,37.1,48.3,No
37.9,36.7,39,19,21,86,68,1015.2,1020.2,34.6,40.7,No
27.4,26.4,38,25,25,68,49,1026.7,1021.2,20.9,36.9,No
34.4,33.2,29,11,17,94,70,1020.9,1018,36.6,38.2,No
